,0
1142,HCI SJ Equity
1143,ELLAHLAK NL Equity
1144,EMG SJ Equity
1145,DIS MC Equity
1146,SAP SJ Equity
1147,TRE TU Equity
1148,RADR ZH Equity
1149,CMH SJ Equity
1150,CLC SJ Equity
1151,TOTAL NL Equity
1152,CMA MC Equity
1153,SNR SJ Equity
1154,EACL KN Equity
1155,RDS MC Equity
1156,ALT MP Equity
1157,SIAME TU Equity
1158,BERGER NL Equity
1159,HOR SJ Equity
1160,BWR SJ Equity
1161,OML LN Equity
1162,POLICY MP Equity
1163,JULI NL Equity
1164,HPS MC Equity
1165,JALSH Index
1166,TMG SJ Equity
1167,REB SJ Equity
1168,IAP SJ Equity
1169,AHN SJ Equity
1170,MML SJ Equity
1171,CRM SJ Equity
1172,CFCB KN Equity
1173,PIM SJ Equity
1174,ZDJ MC Equity
1175,NAS NW Equity
1176,LAN SJ Equity
1177,ASSAD TU Equity
1178,NBS NW Equity
1179,GMB SJ Equity
1180,LGM MC Equity
1181,CFC SJ Equity
1182,SPDIT TU Equity
1183,AQL SJ Equity
1184,NIDBFUND NL Equity
1185,IRON EC Equity
1186,MCU SJ Equity
1187,NIT MP Equity
1188,SAH SJ Equity
1189,ROYALEX NL Equity
1190,DUNLOP NL Equity
1191,REGALINS NL Equity
1192,BID SJ Equity
1193,TEX SJ Equity
1194,LAB SJ Equity
1195,MRF SJ Equity
1196,LUC CT Equity
1197,BRC SJ Equity
1198,EXL SJ Equity
1199,BTE TU Equity
1200,RNG SJ Equity
1201,SEM SJ Equity
1202,SERVI TU Equity
1203,TRIPPLEG NL Equity
1204,PLG SJ Equity
1205,TIM MC Equity
1206,MOL SJ Equity
1207,TRX SJ Equity
1208,DNA SJ Equity
1209,HMALLAC MP Equity
1210,UEGC EC Equity
1211,NT1 SJ Equity
1212,MNG MC Equity
1213,AWT SJ Equity
1214,STUDPRES NL Equity
1215,CLH SJ Equity
1216,SYCR SJ Equity
1217,STOKVIS NL Equity
1218,AFI SJ Equity
1219,CAE SJ Equity
1220,CES SJ Equity
1221,CUTIX NL Equity
1222,ELKA EC Equity
1223,OPHR LN Equity
1224,CONTINSU NL Equity
1225,GFI SJ Equity
1226,PDH SJ Equity
1227,TCC TZ Equity
1228,WAR SJ Equity
1229,CKS SJ Equity
1230,APK SJ Equity
1231,FRC SJ Equity
1232,LMI LN Equity
1233,BC129 MC Equity
1234,NIGSEWIN NL Equity
1235,NFH SJ Equity
1236,GNI NL Equity
1237,CCO SJ Equity
1238,ACADEMY NL Equity
1239,TRW NW Equity
1240,UTR SJ Equity
1241,EQUTYASU NL Equity
1242,CEN SJ Equity
1243,ZHL ZH Equity
1244,PDN NW Equity
1245,MANSARD NL Equity
1246,PAL SJ Equity
1247,FLEXIBLE NL Equity
1248,TAL SJ Equity
1249,RDP SJ Equity
1250,CFCI KN Equity
1251,UMME KN Equity
1252,FIRSTCAP NL Equity
1253,EMN SJ Equity
1254,7UP NL Equity
1255,TSX SJ Equity
1256,DCT SJ Equity
1257,IFS SJ Equity
1258,SHV SJ Equity
1259,THX NW Equity
1260,SRH NW Equity
1261,NKL MC Equity
1262,JAPAULOI NL Equity
1263,UNTL NL Equity
1264,SCBL ZL Equity
1265,WHL SJ Equity
1266,BECOPETR NL Equity
1267,S32 SJ Equity
1268,SBV SJ Equity
1269,DRD SJ Equity
1270,PADFP MP Equity
1271,NICB KN Equity
1272,ABT SJ Equity
1273,JHL TZ Equity
1274,PORT EC Equity
1275,VANLEER NL Equity
1276,VKN NW Equity
1277,FURN BG Equity
1278,SMT SJ Equity
1279,SFW SJ Equity
1280,PORT NL Equity
1281,INTBREW NL Equity
1282,TRU SJ Equity
1283,DBR SJ Equity
1284,BJM SJ Equity
1285,STK SJ Equity
1286,AFR SJ Equity
1287,AFO SJ Equity
1288,ELR CT Equity
1289,OTMT EC Equity
1290,FCMB NL Equity
1291,BARBI ZH Equity
1292,FRT SJ Equity
1293,GTHE EY Equity
1294,RHW SJ Equity
1295,UNIONDIC NL Equity
1296,NEP SJ Equity
1297,PSG SJ Equity
1298,KST SJ Equity
1299,MEIK ZH Equity
1300,NICO ZH Equity
1301,PAL TZ Equity
1302,CGI MC Equity
1303,PNR SJ Equity
1304,REDSTAR ZH Equity
1305,IVS SJ Equity
1306,ASTR ZH Equity
1307,GAR SJ Equity
1308,ELI SJ Equity
1309,UBCI TU Equity
1310,WIL BG Equity
1311,BTCL BG Equity
1312,DANGFLOU NL Equity
1313,GUINEAIN NL Equity
1314,DANGSUGA NL Equity
1315,CAN SJ Equity
1316,COMI EY Equity
1317,BIAT TU Equity
1318,DLM MC Equity
1319,CCL SJ Equity
1320,OCIC EY Equity
1321,SWISSPOR TZ Equity
1322,DAAR NL Equity
1323,MGR TU Equity
1324,SITS TU Equity
1325,DLF SJ Equity
1326,LETSHEGO BG Equity
1327,PRO MC Equity
1328,THL ZH Equity
1329,JSC SJ Equity
1330,MAV MC Equity
1331,PDN AT Equity
1332,COT SJ Equity
1333,MNP SJ Equity
1334,NMG KN Equity
1335,BTI SJ Equity
1336,NIGWIRE NL Equity
1337,BRM SJ Equity
1338,WET SJ Equity
1339,BGA SJ Equity
1340,AME SJ Equity
1341,OMATEK NL Equity
1342,SFLN BG Equity
1343,MLC MP Equity
1344,SCG SJ Equity
1345,BVN NW Equity
1346,REI SJ Equity
1347,FFB SJ Equity
1348,JGS SJ Equity
1349,OREG EC Equity
1350,ETEL EC Equity
1351,SIM SJ Equity
1352,ROGERS MP Equity
1353,MEPA EC Equity
1354,HFCL KN Equity
1355,RSG AT Equity
1356,LAWUNION NL Equity
1357,ELE SJ Equity
1358,GLAXOSMI NL Equity
1359,SEPLAT NL Equity
1360,NIGERINS NL Equity
1361,MIR SJ Equity
1362,ZBFH ZH Equity
1363,GBFS ZH Equity
1364,TPR TU Equity
1365,KPLL KN Equity
1366,BMBC KN Equity
1367,BCBB BG Equity
1368,BDS SJ Equity
1369,TINV TU Equity
1370,PAP SJ Equity
1371,CHAMS NL Equity
1372,FBNH NL Equity
1373,OSI SJ Equity
1374,JBIC KN Equity
1375,TOURIST NL Equity
1376,UUU SJ Equity
1377,VOX SJ Equity
1378,CPI SJ Equity
1379,OLYMPIA BG Equity
1380,FOZ SJ Equity
1381,SBM MP Equity
1382,YBG SJ Equity
1383,CDZ SJ Equity
1384,STPIL TU Equity
1385,CRS MC Equity
1386,SWDY EC Equity
1387,BRT SJ Equity
1388,PHDC EY Equity
1389,NSEASI INDEX
1390,MOUNT MP Equity
1391,CLE SJ Equity
1392,HELI EC Equity
1393,MSUG KN Equity
1394,COURTVIL NL Equity
1395,LOTO MP Equity
1396,HWF MP Equity
1397,MAC SJ Equity
1398,AEL SJ Equity
1399,CZA SJ Equity
1400,NEWPAK NL Equity
1401,AFROMEDI NL Equity
1402,IFR SJ Equity
1403,SIM ZH Equity
1404,EXPL KN Equity
1405,AFH SJ Equity
1406,ATL TU Equity
1407,RPC BG Equity
1408,BAT SJ Equity
1409,AFRIPRUD NL Equity
1410,NSE KN Equity
1411,CGR SJ Equity
1412,SNTS BC Equity
1413,AFL SJ Equity
1414,SCB TU Equity
1415,SKYEBANK NL Equity
1416,ZIMP ZH Equity
1417,ETI NL Equity
1418,ESRS EY Equity
1419,KFS NW Equity
1420,MES SJ Equity
1421,MNHD EC Equity
1422,GRT SJ Equity
1423,STS SJ Equity
1424,SPI SJ Equity
1425,0861674D SJ Equity
1426,RIV AT Equity
1427,DSY SJ Equity
1428,TKG SJ Equity
1429,AVONCROW NL Equity
1430,DOC SJ Equity
1431,TPSEA KN Equity
1432,LYS SJ Equity
1433,RAKUNITY NL Equity
1434,KGM SJ Equity
1435,WAPCO NL Equity
1436,AQP LN Equity
1437,STI SJ Equity
1438,IPR SJ Equity
1439,DDT SJ Equity
1440,SPRINGBK NL Equity
1441,GLL SJ Equity
1442,ELL NW Equity
1443,CRDB TZ Equity
1444,KRABO NL Equity
1445,OAI SJ Equity
1446,JUFO EC Equity
1447,COLC ZH Equity
1448,BOAN BC Equity
1449,IPG SJ Equity
1450,MMDZ ZH Equity
1451,INTERCON NL Equity
1452,KPLLP2 KN Equity
1453,UPDC NL Equity
1454,PDM SJ Equity
1455,SOV SJ Equity
1456,STNG KN Equity
1457,BCI MC Equity
1458,PIM MP Equity
1459,ZCI SJ Equity
1460,CBD SJ Equity
1461,ADH MC Equity
1462,OML SJ Equity
1463,HAFR KN Equity
1464,CIM MP Equity
1465,PRMH EC Equity
1466,BLL MP Equity
1467,S2M MC Equity
1468,AQP SJ Equity
1469,ZPT SJ Equity
1470,MRI SJ Equity
1471,ASUN ZH Equity
1472,BGSMDC Index
1473,BLT SJ Equity
1474,SWL SJ Equity
1475,ADWYA TU Equity
1476,OKOMUOIL NL Equity
1477,AFG SJ Equity
1478,MND SJ Equity
1479,PALMB TU Equity
1480,DLT SJ Equity
1481,EGY US Equity
1482,MTN SJ Equity
1483,ELEC EC Equity
1484,FWD SJ Equity
1485,AGI SJ Equity
1486,CRG SJ Equity
1487,SAM MC Equity
1488,LHC SJ Equity
1489,UNIF ZH Equity
1490,SPG SJ Equity
1491,MOX MC Equity
1492,TATEPA TZ Equity
1493,SDA SJ Equity
1494,ATQ SJ Equity
1495,LHG SJ Equity
1496,CST SJ Equity
1497,NASCON NL Equity
1498,ALD SJ Equity
1499,G4S BG Equity
1500,ATH MC Equity
1501,CPM SJ Equity
1502,PPE SJ Equity
1503,PMG SJ Equity
1504,IMG SJ Equity
1505,RPR SJ Equity
1506,VKG SJ Equity
1507,AWB SJ Equity
1508,BOABF BC Equity
1509,CTH SJ Equity
1510,PGL SJ Equity
1511,SAVA MP Equity
1512,ENAMELWA NL Equity
1513,TBL TZ Equity
1514,EVRD KN Equity
1515,GND SJ Equity
1516,MCQE EC Equity
1517,AFDS ZH Equity
1518,COOP KN Equity
1519,RMI SJ Equity
1520,AXC MC Equity
1521,MSM SJ Equity
1522,PTG SJ Equity
1523,MULTIVER NL Equity
1524,CSL SJ Equity
1525,UNIP EC Equity
1526,LIT MP Equity
1527,CXT SJ Equity
1528,STR SJ Equity
1529,SOVRENIN NL Equity
1530,RRM SJ Equity
1531,GNN SJ Equity
1532,LUSEIDX Index
1533,PNY SJ Equity
1534,STACO NL Equity
1535,SHP ZL Equity
1536,AVI SJ Equity
1537,RRS LN Equity
1538,PAG SJ Equity
1539,ABOSELAB NL Equity
1540,MCI NW Equity
1541,GGCC EC Equity
1542,SFT SJ Equity
1543,ISA SJ Equity
1544,ADW SJ Equity
1545,PMA SJ Equity
1546,PFN SJ Equity
1547,BIL SJ Equity
1548,MNS SJ Equity
1549,FIDL ZH Equity
1550,RTO SJ Equity
1551,IDQ SJ Equity
1552,LBV MC Equity
1553,AXL SJ Equity
1554,PNT SJ Equity
1555,ALUMACO NL Equity
1556,LEARNAFR NL Equity
1557,DWHEAD ZH Equity
1558,GFS SJ Equity
1559,LST SJ Equity
1560,UASG EC Equity
1561,TUSISE Index
1562,GIF TU Equity
1563,CEC ZL Equity
1564,AFE SJ Equity
1565,GULV ZH Equity
1566,APL SJ Equity
1567,AUM SJ Equity
1568,MTK SJ Equity
1569,BNX SJ Equity
1570,NCR NL Equity
1571,CC TU Equity
1572,PRCL EC Equity
1573,APA SJ Equity
1574,BSB SJ Equity
1575,FOREMOST NL Equity
1576,RBX SJ Equity
1577,BPL SJ Equity
1578,NSI SJ Equity
1579,DCRC EC Equity
1580,NRPD EC Equity
1581,SRY SJ Equity
1582,ZRR SJ Equity
1583,CIC KN Equity
1584,MDM SJ Equity
1585,MEC SJ Equity
1586,SSA SJ Equity
1587,EXG SJ Equity
1588,EQN CT Equity
1589,NAP BG Equity
1590,AEN SJ Equity
1591,ZAMBEEF ZL Equity
1592,FOM SJ Equity
1593,MAS SJ Equity
1594,SMF CT Equity
1595,WAAP NL Equity
1596,SPHC BC Equity
1597,SIMPA TU Equity
1598,NBK NW Equity
1599,MAF SJ Equity
1600,HRL SJ Equity
1601,AFI MC Equity
1602,REDSTARE NL Equity
1603,ARTD ZH Equity
1604,WAPIC NL Equity
1605,WTS SJ Equity
1606,THK SJ Equity
1607,COH SJ Equity
1608,RAG SJ Equity
1609,AL TU Equity
1610,SNH SJ Equity
1611,EKHO EC Equity
1612,PHOE ZH Equity
1613,OZZ SJ Equity
1614,MNY SJ Equity
1615,MSI SJ Equity
1616,LNF SJ Equity
1617,BNT SJ Equity
1618,SLU SJ Equity
1619,UEPS UQ Equity
1620,MRP SJ Equity
1621,MDP MC Equity
1622,MNX SJ Equity
1623,PEP BG Equity
1624,YRK SJ Equity
1625,RLY SJ Equity
1626,ZECO ZH Equity
1627,ML TU Equity
1628,DIB SJ Equity
1629,SID MC Equity
1630,ITU SJ Equity
1631,CHAMPION NL Equity
1632,TOC SJ Equity
1633,CAUDAN MP Equity
1634,SCL SJ Equity
1635,CELS ZH Equity
1636,SAFCOM KN Equity
1637,WATP EC Equity
